Time,propulsion/engine[0]/thrust-N,propulsion/tank[0]/contents-kg,position/h-agl-m,velocities/vc-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg
55.2,0,0,875.155683035254469,173.125171700645723,-52.3121724159944748,-84.5152665597584019,339.031430631135947
55.3,0,0,856.145873223390367,173.561092756778635,-55.9710616536142922,-84.0561176016956324,342.709300273621238
55.4,0,0,837.103969588062796,173.994751980747111,-59.6458714811311808,-83.4705620375575279,346.406678204426385
55.5,0,0,818.030547675067737,174.426139370956861,-63.0296623085530783,-82.7899195361997897,349.815620145054879
55.6,0,0,798.926200671141487,174.855245347841787,-65.9691394406780063,-82.0549084856038462,352.78167886166068
55.7,0,0,779.79152485296845,175.282061198730162,-68.4181631021983918,-81.3113836286875511,355.257429755091266
55.8,0,0,760.627106532338985,175.706579271504154,-70.388276545295497,-80.6062652096440075,357.253042218123198
55.9,0,0,741.433510935313961,176.128792939293902,-71.9150005891060857,-79.9840946574287415,358.802661220776372
56,0,0,722.211272755187906,176.548696427490086,-73.039806495202086,-79.4841945147728381,359.946508440729474
56.1,0,0,702.960887836675738,176.966284629334979,-73.8019738641567926,-79.1383482357715451,0.72288388408908244
56.2,0,0,683.68280563806195,177.381553023168664,-74.2352020260383512,-78.9689764811606238,1.16489576480263968
56.3,0,0,664.377422372762567,177.794497789704337,-74.3658648456730873,-78.9878372466701393,1.29877139185355617
56.4,0,0,645.045075451771709,178.205115876638331,-74.2114302619295643,-79.1952916572670915,1.14225389609903005
56.5,0,0,625.686040150773806,178.613405659135282,-73.7786163986138916,-79.5801730069093765,0.702670240315222627
56.6,0,0,606.300529750132227,179.019366865379681,-73.0615680107948435,-80.1202818044889113,359.974990459608193
56.7,0,0,586.888700065334547,179.423000860125512,-72.0410235911582646,-80.7835255816686981,358.940889432778192
56.8,0,0,567.450658841507902,179.824310479955471,-70.6864106938937198,-81.5297114532558282,357.570775057896071
56.9,0,0,547.986479633993099,180.223299652337772,-68.9643122915101685,-82.3129977549895528,355.832228008501943
57,0,0,528.496219020681679,180.619972826186427,-66.8585931251339929,-83.0850121388720027,353.710122820946651
57.1,0,0,508.979935371702879,181.014334329060489,-64.4078203797383679,-83.7986250737500171,351.244038690519801
57.2,0,0,489.437707251545419,181.406387785293902,-61.7590517616687791,-84.4122141922240417,348.582014980727649
57.3,0,0,469.869649564372992,181.796135707219889,-59.2160276708807629,-84.8937490271000286,346.028686248553527
57.4,0,0,450.275926179191515,182.183579317936591,-57.229458886160856,-85.223171219816777,344.035500418820732
57.5,0,0,430.656758387650996,182.568718634341053,-56.2777594478656482,-85.3913122139198038,343.081387049727425
57.6,0,0,411.012429129881696,182.95155249050822,-56.6631153485801207,-85.3955893759505358,343.468779376922953
