Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
-3.809354455,-3.809354455,0,5.387240734,432,
-3.811312238,-3.811312238,0,5.390009458,433,
-3.813266507,-3.813266507,0,5.392773212,434,
-3.815217278,-3.815217278,0,5.395532018,435,
-3.817164563,-3.817164563,0,5.398285895,436,
-3.819108378,-3.819108378,0,5.401034864,437,
-3.821048736,-3.821048736,0,5.403778945,438,
-3.822985652,-3.822985652,0,5.406518157,439,
-3.824919139,-3.824919139,0,5.409252521,440,
-3.826849211,-3.826849211,0,5.411982055,441,
-3.828775882,-3.828775882,0,5.41470678,442,
-3.830699166,-3.830699166,0,5.417426714,443,
-3.832619076,-3.832619076,0,5.420141877,444,
-3.834535626,-3.834535626,0,5.422852288,445,
-3.836448829,-3.836448829,0,5.425557965,446,
-3.838358699,-3.838358699,0,5.428258929,447,
-3.840265248,-3.840265248,0,5.430955197,448,
-3.84216849,-3.84216849,0,5.433646787,449,
-3.844068438,-3.844068438,0,5.43633372,450,
-3.845965105,-3.845965105,0,5.439016012,451,
-3.847858504,-3.847858504,0,5.441693682,452,
-3.849748648,-3.849748648,0,5.444366749,453,
-3.851635549,-3.851635549,0,5.44703523,454,
-3.85351922,-3.85351922,0,5.449699144,455,
-3.855399674,-3.855399674,0,5.452358508,456,
-3.857276924,-3.857276924,0,5.45501334,457,
-3.859150981,-3.859150981,0,5.457663657,458,
-3.861021859,-3.861021859,0,5.460309477,459,
-3.862889568,-3.862889568,0,5.462950818,460,
-3.864754123,-3.864754123,0,5.465587696,461,
-3.866615535,-3.866615535,0,5.468220129,462,
-3.868473815,-3.868473815,0,5.470848135,463,
-3.870328976,-3.870328976,0,5.473471729,464,
-3.872181031,-3.872181031,0,5.476090929,465,
-3.87402999,-3.87402999,0,5.478705752,466,
-3.875875865,-3.875875865,0,5.481316215,467,
-3.877718669,-3.877718669,0,5.483922333,468,
-3.879558413,-3.879558413,0,5.486524124,469,
-3.881395108,-3.881395108,0,5.489121603,470,
-3.883228767,-3.883228767,0,5.491714788,471,
-3.8850594,-3.8850594,0,5.494303694,472,
-3.886887019,-3.886887019,0,5.496888337,473,
-3.888711635,-3.888711635,0,5.499468734,474,
-3.890533259,-3.890533259,0,5.5020449,475,
-3.892351903,-3.892351903,0,5.504616851,476,
