time,thrust
1.32,1365.530029
1.321,1349.977295
1.322,1369.884766
1.323,1364.285767
1.324,1363.663696
1.325,1390.414429
1.326,1358.686768
1.327,1353.087891
1.328,1351.843628
1.329,1352.465698
1.33,1356.820557
1.331,1349.355225
1.332,1354.332031
1.333,1382.327026
1.334,1371.129028
1.335,1374.861694
1.336,1359.93103
1.337,1359.30896
1.338,1364.285767
1.339,1358.064697
1.34,1356.198364
1.341,1357.442627
1.342,1375.483765
1.343,1369.262695
1.344,1367.396362
1.345,1368.018433
1.346,1371.129028
1.347,1351.221558
1.348,1365.530029
1.349,1369.262695
1.35,1368.640625
1.351,1372.373291
1.352,1360.553101
1.353,1358.686768
1.354,1355.576294
1.355,1361.797363
1.356,1365.530029
1.357,1361.797363
1.358,1352.465698
1.359,1365.530029
1.36,1360.553101
1.361,1367.396362
1.362,1371.751099
1.363,1359.30896
1.364,1358.686768
1.365,1361.797363
1.366,1377.972168
1.367,1374.239502
1.368,1371.751099
1.369,1373.617432
1.37,1386.681763
1.371,1382.327026
1.372,1359.93103
1.373,1366.1521
1.374,1370.506958
1.375,1369.262695
1.376,1354.332031
1.377,1377.972168
1.378,1358.064697
1.379,1384.81543
1.38,1388.548096
1.381,1389.170166
1.382,1371.751099
1.383,1381.082764
1.384,1387.303833
1.385,1386.681763
1.386,1386.059692
1.387,1379.216431
1.388,1384.193359
1.389,1356.198364
1.39,1402.856567
1.391,1379.216431
1.392,1382.327026
1.393,1386.059692
1.394,1377.350098
1.395,1360.553101
1.396,1371.751099
1.397,1368.018433
1.398,1382.949097
1.399,1379.216431
1.4,1366.1521
1.401,1364.907959
1.402,1374.239502
1.403,1382.327026
1.404,1368.640625
1.405,1372.995361
1.406,1371.129028
1.407,1389.170166
1.408,1391.658569
1.409,1384.81543
1.41,1392.280762
1.411,1381.082764
1.412,1361.797363
1.413,1361.175293
1.414,1366.1521
1.415,1363.663696
1.416,1385.4375
1.417,1391.658569
1.418,1377.350098
1.419,1383.571167
1.42,1399.746094
1.421,1398.501831
1.422,1386.681763
1.423,1378.59436
1.424,1384.193359
1.425,1353.709961
1.426,1376.105835
1.427,1381.704834
1.428,1374.861694
1.429,1377.972168
1.43,1384.193359
1.431,1387.926025
1.432,1392.902832
1.433,1365.530029
1.434,1371.751099
1.435,1386.681763
1.436,1389.170166
1.437,1365.530029
1.438,1386.059692
1.439,1389.792236
1.44,1384.81543
1.441,1393.524902
1.442,1379.216431
1.443,1359.93103
1.444,1367.396362
1.445,1376.105835
1.446,1392.280762
1.447,1372.373291
1.448,1379.216431
1.449,1363.663696
1.45,1368.640625
1.451,1397.257568
1.452,1376.728027
1.453,1404.7229
1.454,1385.4375
1.455,1389.170166
1.456,1385.4375
1.457,1410.321899
1.458,1390.414429
1.459,1402.234497
1.46,1363.041626
1.461,1363.663696
1.462,1361.797363
1.463,1376.105835
1.464,1379.216431
1.465,1369.884766
1.466,1369.262695
1.467,1387.926025
1.468,1366.1521
1.469,1397.879761
1.47,1381.704834
1.471,1389.792236
1.472,1404.10083
1.473,1410.321899
1.474,1398.501831
1.475,1376.105835
1.476,1382.949097
1.477,1395.391235
1.478,1382.327026
1.479,1374.239502
1.48,1378.59436
1.481,1403.47876
1.482,1382.327026
1.483,1375.483765
1.484,1394.147095
1.485,1367.396362
1.486,1365.530029
1.487,1374.861694
1.488,1377.972168
1.489,1386.681763
1.49,1368.018433
